m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1684,2186,0,3,2836.0,16701.0,Vglut1,2078,1346.6004077471966,1673.27624872579,9640.600407747197,18261.27624872579,2078_3,4992
0,1685,1936,0,3,2837.0,16451.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1685,2021,0,3,2837.0,16536.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1689,2155,0,3,2841.0,16670.0,Vglut1,2059,1307.1402439024391,253.8262195121951,9601.140243902439,16841.826219512193,2059_3,4975
0,1689,2180,0,3,2841.0,16695.0,Vglut1,2078,1346.6004077471966,1673.27624872579,9640.600407747197,18261.27624872579,2078_3,4992
0,1689,2259,0,3,2841.0,16774.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1691,2173,0,3,2843.0,16688.0,Vglut1,2059,1307.1402439024391,253.8262195121951,9601.140243902439,16841.826219512193,2059_3,4975
0,1693,2259,0,3,2845.0,16774.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1694,2254,0,3,2846.0,16769.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1695,1922,0,3,2847.0,16437.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1695,2016,0,3,2847.0,16531.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1695,2248,0,3,2847.0,16763.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1697,2152,0,3,2849.0,16667.0,Vglut1,2059,1307.1402439024391,253.8262195121951,9601.140243902439,16841.826219512193,2059_3,4975
0,1699,2252,0,3,2851.0,16767.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1700,2005,0,3,2852.0,16520.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1701,2246,0,3,2853.0,16761.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1704,1996,0,3,2856.0,16511.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1705,2026,0,3,2857.0,16541.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1705,2263,0,3,2857.0,16778.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1707,2036,0,3,2859.0,16551.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1709,2144,0,3,2861.0,16659.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1709,2246,0,3,2861.0,16761.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1710,1855,0,3,2862.0,16370.0,Vglut1,2085,1344.4553686934023,347.97930142302715,9638.455368693401,16935.979301423027,2085_3,4999
0,1710,2161,0,3,2862.0,16676.0,Vglut1,2078,1346.6004077471966,1673.27624872579,9640.600407747197,18261.27624872579,2078_3,4992
0,1710,2255,0,3,2862.0,16770.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1711,2073,0,3,2863.0,16588.0,Vglut1,2083,1339.4929078014184,2130.3971631205673,9633.492907801417,18718.397163120568,2083_3,4997
0,1712,2014,0,3,2864.0,16529.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1712,2250,0,3,2864.0,16765.0,Vglut1,2077,1350.822950819672,1703.438524590164,9644.822950819673,18291.438524590165,2077_3,4991
0,1713,2153,0,3,2865.0,16668.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1715,2040,0,3,2867.0,16555.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1718,1932,0,3,2870.0,16447.0,Vglut1,2086,1346.4312696747115,2026.495278069255,9640.431269674711,18614.495278069255,2086_3,5000
0,1718,2157,0,3,2870.0,16672.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1719,1850,0,3,2871.0,16365.0,Vglut1,2085,1344.4553686934023,347.97930142302715,9638.455368693401,16935.979301423027,2085_3,4999
0,1719,2013,0,3,2871.0,16528.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1723,2017,0,3,2875.0,16532.0,Vglut1,2072,1333.161789066814,557.4014356709,9627.161789066813,17145.4014356709,2072_3,4986
0,1726,2079,0,3,2878.0,16594.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1727,2060,0,3,2879.0,16575.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1727,2148,0,3,2879.0,16663.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1729,2102,0,3,2881.0,16617.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1731,2074,0,3,2883.0,16589.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1736,2088,0,3,2888.0,16603.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1737,2163,0,3,2889.0,16678.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1739,2156,0,3,2891.0,16671.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
